"ID","B64 ID","STATE","CITY","NAME","NUM RATINGS","AVG RATINGS","TYPENAME","URL"
"126","U2Nob29sLTEyNg==","MD","Bowie","Bowie State University","142","2.99022","School","https://www.ratemyprofessors.com/school?sid=126"
"127","U2Nob29sLTEyNw==","","","Bowling Green State University","496","3.89517","School","https://www.ratemyprofessors.com/school?sid=127"
"128","U2Nob29sLTEyOA==","IL","Peoria","Bradley University","207","3.79","School","https://www.ratemyprofessors.com/school?sid=128"
"129","U2Nob29sLTEyOQ==","","","Brandeis University","125","3.74559","School","https://www.ratemyprofessors.com/school?sid=129"
"130","U2Nob29sLTEzMA==","","","Brenau University","50","3.21723","School","https://www.ratemyprofessors.com/school?sid=130"
"131","U2Nob29sLTEzMQ==","KY","Owensboro","Brescia University","18","3.49","School","https://www.ratemyprofessors.com/school?sid=131"
"132","U2Nob29sLTEzMg==","IA","Sioux City","Briar Cliff University","13","2.61795","School","https://www.ratemyprofessors.com/school?sid=132"
"133","U2Nob29sLTEzMw==","VA","Bridgewater","Bridgewater College","98","3.28585","School","https://www.ratemyprofessors.com/school?sid=133"
"134","U2Nob29sLTEzNA==","MA","Bridgewater","Bridgewater State University","327","3.5605","School","https://www.ratemyprofessors.com/school?sid=134"
"135","U2Nob29sLTEzNQ==","","","Brigham Young University","1517","4.36785","School","https://www.ratemyprofessors.com/school?sid=135"
"136","U2Nob29sLTEzNg==","HI","Laie","Brigham Young University - Hawaii","164","3.69","School","https://www.ratemyprofessors.com/school?sid=136"
"137","U2Nob29sLTEzNw==","RI","Providence","Brown University","54","4.47","School","https://www.ratemyprofessors.com/school?sid=137"
"138","U2Nob29sLTEzOA==","RI","Smithfield","Bryant University","187","4.03","School","https://www.ratemyprofessors.com/school?sid=138"
"139","U2Nob29sLTEzOQ==","","","Bryn Mawr College","94","4.19","School","https://www.ratemyprofessors.com/school?sid=139"
"140","U2Nob29sLTE0MA==","","","Bucknell University","115","4.34","School","https://www.ratemyprofessors.com/school?sid=140"
"141","U2Nob29sLTE0MQ==","IA","Storm Lake","Buena Vista University","19","4.02895","School","https://www.ratemyprofessors.com/school?sid=141"
"142","U2Nob29sLTE0Mg==","IN","Indianapolis","Butler University","275","3.97","School","https://www.ratemyprofessors.com/school?sid=142"
"143","U2Nob29sLTE0Mw==","PA","Radnor","Cabrini University","61","2.98671","School","https://www.ratemyprofessors.com/school?sid=143"
"144","U2Nob29sLTE0NA==","NJ","Caldwell","Caldwell University","88","3.39","School","https://www.ratemyprofessors.com/school?sid=144"
"145","U2Nob29sLTE0NQ==","","","California Baptist University","209","4.04086","School","https://www.ratemyprofessors.com/school?sid=145"
